codigo,latitude,longitude,WO_dist,NS_dist,importance_0.5h,importance_1.0h,importance_1.5h,importance_2h,importance_3h,importance_4h,top feature_0.5h,top feature_1h,top feature_1.5h,top feature_2h,top feature_3h,top feature_4h,value_top_0.5h,value_top_1h,value_top_1.5h,value_top_2h,value_top_3h,value_top_4h
P02,41.9481691,-4.5153953999999885,61.760811376133844,-24.255989839228572,0.002210413481963388,0.0029779549675776396,0.0029558563472143976,0.0034915554541337795,0.004067529272684092,0.00448031941447606,0,0,0,0,0,3,0.0009400880147772817,0.0009946658188708605,0.0011532502059343646,0.001355697901873519,0.0015599625882015183,0.001267299114209286
P03,42.08374329999999,-4.783399000000031,39.665780481526745,-9.176094182993886,0.0030699569908532306,0.003847899017067166,0.004338145527496805,0.004269395169268215,0.005046201451023618,0.004696257032794814,0,0,0,0,0,0,0.001757017537582179,0.0018269886484161666,0.0022822400792066573,0.0018557951652638982,0.0020449799250200303,0.001543978197284827
P04,42.246043799999995,-4.595335500000034,55.17032016463622,8.876563365087579,0.002521153335932402,0.003023638284402397,0.0033662323018837583,0.0035452371501918187,0.0037742465518218592,0.004294552628615018,0,0,0,0,0,0,0.0011413875232099218,0.0013009410407990476,0.0011652644954416565,0.0014237635587791432,0.0013596579313257687,0.0015304742581245246
P06,42.5953655,-4.332111400000031,76.87121674363179,47.731557799567575,0.0020747495284872434,0.002697505227220491,0.002936974382733596,0.0034910949517619663,0.004265133292812516,0.004919684899239107,0,0,0,0,0,0,0.0007006249832653163,0.0009514180604326102,0.0009565516432177751,0.001037211404644008,0.001363161188367496,0.0014114460591323965
SA01,40.5973921,-6.5335182000000005,-104.61929815409486,-174.50269027960596,0.002605507795649371,0.007065286070710739,0.01646007639576033,0.016158539822855925,0.08999483846121752,0.17950023806264592,3,3,3,3,3,3,0.0007360929525898802,0.00413986376845046,0.01284572105966279,0.011533057472713134,0.08286029807990912,0.16949472946579466
SG01,41.288878600000004,-4.324407899999983,77.50631132025116,-97.58876220408693,0.0016283208132408492,0.0025126459626355867,0.002878894976380112,0.003447991912307354,0.004847155211611267,0.0044147461773314,0,0,0,0,3,0,0.0005645009317731739,0.0008083810674387991,0.0010346439788502383,0.001174214407920997,0.0018770171089421267,0.0013174192895141989
SG02,41.154601,-4.491565199999968,63.72543888355465,-112.52443725855856,0.0019707590634623256,0.0027822281025934505,0.00317029111754914,0.003731654039881912,0.005235730735179422,0.007855193293886844,0,0,0,0,0,3,0.0007942843606954595,0.000995342071735257,0.0011829757633243815,0.0013237702436599888,0.001724493381401443,0.003916267657510008
SO01,41.4870645,-2.5335987999999996,225.13781408534672,-75.54457759862915,0.002159311774433152,0.0037564237877457814,0.0033920229257198803,0.004207570030065144,0.012168322787588212,0.0056944319932108875,0,3,0,0,3,3,0.0006933547729934479,0.0014028542644142835,0.0009608722536338675,0.001246431227556934,0.008579339476949843,0.001643129096663438
SO02,41.570535,-3.1993080000000003,170.25981460108824,-66.26016780403833,0.002456332988233298,0.003262923719700536,0.0030157572822772315,0.00357611832160948,0.009235649547309564,0.0051974367983509935,0,0,0,0,3,0,0.0010604645356750563,0.0010092368028531739,0.0009015128544281366,0.001164065143042608,0.0059020344984821,0.0014116555433210305
SO03,41.849787899999995,-2.4281391,233.83113310128022,-35.198914308157065,0.002553906190001813,0.003890639554564673,0.0034383697866844296,0.004464582824870824,0.013324179018069962,0.005834394465523628,0,3,0,0,3,3,0.0010361909384397003,0.0015941092582425764,0.0008880640645350265,0.001492109379681166,0.009986937001367999,0.0020854778292412686
VA01,42.1662402,-5.264525899999967,8.244360849185115e-06,2.2245966167844244e-05,0.31631595660693207,0.17284982436843999,0.06653110267558413,0.017350778554249928,0.009711842358833727,0.07957344209777871,0,0,0,0,0,0,0.3132026273665423,0.16950433122400865,0.06344404511388946,0.013820480788870049,0.005737433385203219,0.003048042803647045
VA02,41.2217513,-5.2475517999999965,1.3994138374302298,-105.0553205882405,0.0020548007752641604,0.0033248962880060577,0.004530789619533867,0.010268702833957045,0.024604847363167176,0.046305923194606476,0,0,0,3,3,3,0.0006576368673241748,0.0009525071900493941,0.0016182636002036253,0.005734992750813589,0.01844757499240287,0.039732802760878344
VA03,41.2851649,-4.707061599999975,45.959279960524704,-98.00183643575211,0.0019011964245579864,0.002773568205803002,0.0034330251495604484,0.004335859531047057,0.004323153135998072,0.010606815123417152,0,0,0,0,0,3,0.0006906910268642293,0.0009659600730701298,0.0012613304754207,0.0014219184343532507,0.0014860145473153156,0.007404782020638152
VA05,41.756021000000004,-4.101495,95.88369912728189,-45.6285909576128,0.002069137494097303,0.002713375156470701,0.002869747915809302,0.0028309898747349745,0.0045379848790174215,0.0046447956311293295,0,0,0,0,3,0,0.0009226356101522765,0.0009920380561626576,0.001168270388810197,0.0009398223824703842,0.0014276636412965781,0.0012934295099459613
VA06,41.50153529999999,-4.998745900000016,21.911854461310572,-73.93499292793119,0.0036840867402757275,0.005821867512452707,0.005113229145913412,0.0060830821240878625,0.006031994896074751,0.012554847719269105,0,0,0,0,0,3,0.00219114273651675,0.003700733883903221,0.0028127027900556973,0.003222759925507859,0.002416491681604584,0.008519126963128959
VA07,41.642503999999995,-4.292395,80.14552804423413,-58.25506793633791,0.0017867222531566013,0.002486382996522994,0.0028212864085547986,0.003225888246854835,0.0041579833823313555,0.005295597656733725,0,0,0,0,0,0,0.0006365383152677579,0.0008024176894630177,0.0009821150930656476,0.0011094759172268346,0.0014450310634100986,0.002029853519427421
ZA01,42.00372,-5.8096749000000045,-44.9439513288897,-18.077072496474255,0.04918394293660562,0.06253032421550642,0.11707052151857832,0.05654767519661883,0.03219986934318471,0.021035810041585824,0,0,0,0,0,0,0.04719860323753742,0.059823025132964495,0.11168922965730538,0.05189285730742329,0.024055728684839132,0.014054364267045337
