codigo,latitude,longitude,WO_dist,NS_dist,importance_0.5h,importance_1.0h,importance_1.5h,importance_2h,importance_3h,importance_4h,top feature_0.5h,top feature_1h,top feature_1.5h,top feature_2h,top feature_3h,top feature_4h,value_top_0.5h,value_top_1h,value_top_1.5h,value_top_2h,value_top_3h,value_top_4h
LE06,42.4627721,-5.881594299999961,-50.87320983891999,32.9832160302227,0.01300703329801681,0.06257141352306625,0.10709410976339179,0.10987214240698226,0.10802393663128582,0.07571705063322706,2,2,0,0,0,0,0.01300703329801681,0.03225791569830576,0.06291941405812311,0.06858514580120499,0.07096685739273481,0.05377648553237828
LE07,42.4410687,-5.791224199999987,-43.42281703837906,30.569150467707413,0.028124503849842074,0.0519033050124295,0.05920605647318994,0.10110080898934676,0.07341036437612009,0.02627068667800972,0,0,0,0,0,0,0.02481538968111006,0.04225573107354567,0.0478488522858867,0.06579185219070903,0.04176490256741025,0.015060624709898258
LE08,42.370959899999995,-5.029949299999998,19.339337179135676,22.770960335779602,0.058266175447965654,0.06008734771338134,0.07994410877614959,0.07930189578659638,0.042064257248680084,0.029720676504155476,0,0,0,0,0,0,0.054218114275657606,0.05834520658562683,0.06584950111400915,0.06373983655387305,0.03506284267626251,0.02506859732371761
LE09,42.43212390000001,-5.371055100000034,-8.782639959375032,29.57422185543615,0.04424939519486909,0.07505283455019439,0.05848480416616696,0.042602826169934854,0.04932311692900842,0.022150346281796525,0,0,0,0,0,0,0.031516319505448226,0.04941711291133793,0.039666454408917085,0.0296243295799129,0.03242152023770876,0.017945675059916774
P01,42.057360100000004,-4.294888399999991,79.9399665431689,-12.110693119055432,0.010993658991390655,0.0035112266121750235,0.016857668034041963,0.020230094108468502,0.010939533232584673,0.0322273378266392,0,0,0,0,0,0,0.006212289714973916,0.0035112266121750235,0.013538274872152596,0.014159017713309376,0.010939533232584673,0.0322273378266392
P02,41.9481691,-4.5153953999999885,61.760811376133844,-24.255989839228572,0.013775063787735329,0.014362765260188072,0.012549016672869187,0.027484035114304882,0.0388769904032404,0.013657086732207734,0,0,0,0,0,2,0.011189179393136472,0.014362765260188072,0.012419757678465109,0.020610460899977364,0.021601473944974914,0.009495060690243104
P03,42.08374329999999,-4.783399000000031,39.665780481526745,-9.176094182993886,0.021816100756001704,0.028301587072785576,0.044222113577752756,0.051660395072239434,0.04734426349390054,0.03192256544383286,0,0,0,0,0,0,0.021816100756001704,0.028301587072785576,0.04089221164501599,0.04253998617264861,0.03560497733088801,0.01929252223726512
P04,42.246043799999995,-4.595335500000034,55.17032016463622,8.876563365087579,0.013150321975962985,0.0318952900459483,0.02671860582391,0.010698564975979735,0.0062480309589146455,0.01820054486767637,2,2,2,2,0,0,0.009312343100992711,0.02072893069938044,0.013156417778383351,0.009360895218308582,0.0062480309589146455,0.01820054486767637
P06,42.5953655,-4.332111400000031,76.87121674363179,47.731557799567575,0.0077812818401457665,0.01792628311654005,0.027419743362141973,0.035638079241532915,0.045298121701261955,0.03467986175730577,0,0,0,0,0,0,0.004487648947252346,0.01792628311654005,0.027419743362141973,0.035638079241532915,0.04266703543315157,0.03467986175730577
SA01,40.5973921,-6.5335182000000005,-104.61929815409486,-174.50269027960596,0.10365952608961648,0.28776146912748113,0.037125144456962744,0.05254488435163397,0.0758611662260568,0.08370265397459381,3,3,0,0,0,0,0.10365952608961648,0.27371102390336055,0.03492684079825307,0.05254488435163397,0.07417459905359389,0.07226134163098603
SG01,41.288878600000004,-4.324407899999983,77.50631132025116,-97.58876220408693,0.014616399729470382,0.015144856881944314,0.01877296277995197,0.02549954127628618,0.019876172764871244,0.011004038555709032,2,2,2,2,2,2,0.011296958886638613,0.015144856881944314,0.01877296277995197,0.02549954127628618,0.019839379259081306,0.011004038555709032
SG02,41.154601,-4.491565199999968,63.72543888355465,-112.52443725855856,0.0057964322340479475,0.014878778793597187,0.013108870252734257,0.003977393626637651,0.020105017694391703,0.019981626303194056,0,0,2,2,2,1,0.0057964322340479475,0.010379840935351896,0.0069521203389828964,0.002955597837957064,0.01440640132580579,0.011295039816094369
SO01,41.4870645,-2.5335987999999996,225.13781408534672,-75.54457759862915,0.07524576544539636,0.014749670442824176,0.22431566052823815,0.5575057505503321,0.5026251342212885,0.20287670096306337,0,0,3,3,3,3,0.042256711563151556,0.012013294180935413,0.2166197541188765,0.5409640316927357,0.4815610363959785,0.18488079994708725
SO02,41.570535,-3.1993080000000003,170.25981460108824,-66.26016780403833,0.019465056576575695,0.019049997063035718,0.014531122617986884,0.018278314410755538,0.007293646895969693,0.025437775845769568,0,0,0,0,0,2,0.0139061152419003,0.01601161744479587,0.01154277955522541,0.010441733980845606,0.0036617408432808745,0.010941173330659349
